Customer_ID,Tenure_Months,Contract_Type,Internet_Service,Monthly_Charges_USD,Total_Charges_USD,Tech_Support_Calls,Churned
CUST-1000,19,Month-to-month,Fiber optic,71.08,1231.15,3,Yes
CUST-1001,64,Month-to-month,DSL,40.56,2527.47,5,Yes
CUST-1002,53,Month-to-month,DSL,67.54,3633.33,4,Yes
CUST-1003,6,Month-to-month,Fiber optic,78.42,520.21,2,Yes
CUST-1004,17,Month-to-month,DSL,60.61,1062.71,3,No
CUST-1005,46,One year,DSL,41.37,1928.65,1,No
CUST-1006,55,Two year,DSL,65.04,3628.09,1,No
CUST-1007,6,Two year,No,26.09,139.38,4,No
CUST-1008,70,One year,DSL,65.37,4582.85,2,No
CUST-1009,68,Month-to-month,DSL,67.63,4560.25,2,No
CUST-1010,40,Two year,DSL,43.12,1716.03,3,No
CUST-1011,66,Two year,DSL,60.23,4069.99,2,No
CUST-1012,9,Two year,Fiber optic,108.99,939.58,1,No
CUST-1013,11,Month-to-month,DSL,58.09,580.73,2,Yes
CUST-1014,20,Month-to-month,DSL,46.38,917.92,3,Yes
CUST-1015,43,Two year,No,21.95,923.86,2,No
CUST-1016,58,Two year,DSL,74.91,4358.08,3,No
CUST-1017,26,One year,Fiber optic,102.15,2695.54,1,No
CUST-1018,38,Two year,DSL,67.21,2535.25,1,No
CUST-1019,36,One year,No,25.27,1015.06,2,Yes
CUST-1020,55,Month-to-month,No,25.75,1477.78,4,No
CUST-1021,6,Month-to-month,No,24.49,108.76,2,Yes
CUST-1022,3,One year,No,19.99,56.02,1,No
CUST-1023,65,Month-to-month,Fiber optic,73.52,4805.22,4,Yes
CUST-1024,64,Two year,DSL,48.9,3088.15,1,No
CUST-1025,58,Month-to-month,DSL,71.22,4027.53,4,No
CUST-1026,58,Two year,Fiber optic,97.78,5767.71,0,No
CUST-1027,18,Two year,Fiber optic,99.17,1729.71,2,No
CUST-1028,23,Month-to-month,No,19.55,492.27,2,No
CUST-1029,29,Month-to-month,DSL,71.53,2109.39,3,No
CUST-1030,23,One year,No,18.65,388.16,1,No
CUST-1031,36,Month-to-month,No,19.82,811.52,0,Yes
CUST-1032,70,One year,Fiber optic,82.9,5806.23,2,No
CUST-1033,6,Month-to-month,No,21.45,135.59,3,Yes
CUST-1034,34,Month-to-month,Fiber optic,82.87,2740.67,1,Yes
CUST-1035,44,Month-to-month,DSL,51.66,2167.44,1,Yes
CUST-1036,44,Month-to-month,Fiber optic,113.38,4976.59,1,Yes
CUST-1037,27,Month-to-month,Fiber optic,98.09,2713.29,3,Yes
CUST-1038,52,Two year,No,26.43,1281.27,1,No
CUST-1039,42,Month-to-month,Fiber optic,75.25,3167.77,3,No
CUST-1040,25,Two year,DSL,64.52,1617.08,2,No
CUST-1041,39,Two year,Fiber optic,83.84,3331.81,1,No
CUST-1042,39,Two year,Fiber optic,82.57,3271.05,2,Yes
CUST-1043,12,Month-to-month,Fiber optic,91.07,1099.85,2,No
CUST-1044,11,One year,DSL,49.71,542.13,1,No
CUST-1045,3,Month-to-month,Fiber optic,95.56,250.69,1,No
CUST-1046,22,Month-to-month,Fiber optic,93.46,1998.85,1,Yes
CUST-1047,4,Two year,DSL,69.19,245.44,1,No
CUST-1048,8,Month-to-month,Fiber optic,70.18,506.1,1,Yes
CUST-1049,14,Two year,Fiber optic,78.88,1099.06,1,No
CUST-1050,14,One year,No,21.83,303.88,2,No
CUST-1051,16,Month-to-month,Fiber optic,101.74,1614.11,3,No
CUST-1052,32,Month-to-month,Fiber optic,91.83,2944.03,4,Yes
CUST-1053,64,One year,DSL,64.54,4107.6,0,No
CUST-1054,16,One year,DSL,72.62,1204.0,3,No
CUST-1055,52,One year,DSL,56.06,2926.56,1,No
CUST-1056,19,Month-to-month,No,26.18,473.22,2,Yes
CUST-1057,69,Month-to-month,Fiber optic,110.11,7539.26,1,No
CUST-1058,12,Month-to-month,No,24.49,289.8,4,Yes
CUST-1059,5,Month-to-month,No,27.92,196.66,0,No
CUST-1060,42,Month-to-month,No,24.47,1057.21,1,Yes
CUST-1061,17,Month-to-month,DSL,54.81,969.68,1,No
CUST-1062,10,Month-to-month,No,26.43,300.5,0,No
CUST-1063,16,One year,Fiber optic,111.91,1851.34,1,No
CUST-1064,16,One year,DSL,51.35,864.71,0,No
CUST-1065,42,Month-to-month,Fiber optic,105.72,4447.69,0,Yes
CUST-1066,3,One year,No,27.48,62.09,0,Yes
CUST-1067,23,One year,DSL,47.07,1126.41,2,No
CUST-1068,28,Month-to-month,Fiber optic,73.57,1939.0,2,Yes
CUST-1069,45,Month-to-month,No,22.12,1058.77,2,No
CUST-1070,68,Month-to-month,DSL,48.44,3328.42,2,No
CUST-1071,24,Month-to-month,DSL,46.69,1202.49,1,No
CUST-1072,19,Month-to-month,Fiber optic,79.7,1458.32,2,Yes
CUST-1073,40,Month-to-month,No,23.36,992.5,1,No
CUST-1074,46,One year,DSL,55.65,2593.08,2,No
CUST-1075,40,Two year,Fiber optic,89.91,3566.03,3,No
CUST-1076,62,Month-to-month,DSL,43.21,2672.2,3,No
CUST-1077,18,One year,DSL,67.21,1199.47,0,No
CUST-1078,12,Two year,DSL,55.81,651.47,3,No
CUST-1079,14,Month-to-month,Fiber optic,93.36,1239.61,0,Yes
CUST-1080,61,Two year,Fiber optic,104.31,6421.63,1,No
CUST-1081,12,Month-to-month,DSL,61.66,692.6,3,Yes
CUST-1082,27,Two year,No,25.39,633.04,1,No
CUST-1083,6,Month-to-month,DSL,45.76,334.52,0,Yes
CUST-1084,33,Month-to-month,Fiber optic,112.93,3656.55,1,Yes
CUST-1085,50,One year,Fiber optic,91.41,4555.37,5,No
CUST-1086,12,Two year,DSL,52.56,581.01,1,Yes
CUST-1087,57,Month-to-month,No,27.73,1662.45,4,Yes
CUST-1088,53,One year,Fiber optic,105.07,5625.9,2,No
CUST-1089,13,One year,DSL,72.72,904.28,1,No
CUST-1090,3,Month-to-month,Fiber optic,89.35,218.2,4,Yes
CUST-1091,64,Month-to-month,Fiber optic,91.58,5899.48,0,No
CUST-1092,58,Month-to-month,Fiber optic,111.69,6499.69,4,Yes
CUST-1093,4,Month-to-month,No,25.06,82.54,5,Yes
CUST-1094,45,One year,No,25.0,1102.67,0,No
CUST-1095,66,Two year,Fiber optic,101.76,6704.47,0,No
CUST-1096,36,One year,DSL,59.74,2195.74,0,No
CUST-1097,23,Two year,Fiber optic,81.32,1948.9,1,No
CUST-1098,19,Month-to-month,DSL,67.63,1376.11,3,Yes
CUST-1099,40,Month-to-month,DSL,50.34,1976.88,1,Yes
CUST-1100,16,Two year,Fiber optic,90.27,1447.22,3,No
CUST-1101,58,Two year,Fiber optic,106.81,6262.16,1,No
CUST-1102,18,Month-to-month,No,26.4,431.67,3,No
CUST-1103,36,Month-to-month,DSL,43.47,1530.82,2,No
CUST-1104,24,Two year,Fiber optic,88.59,2166.0,3,No
CUST-1105,1,Month-to-month,DSL,58.57,35.14,1,No
CUST-1106,1,Month-to-month,No,25.38,18.0,0,No
CUST-1107,64,One year,DSL,62.19,3938.81,1,No
CUST-1108,62,Two year,Fiber optic,72.01,4514.13,1,No
CUST-1109,36,One year,DSL,43.63,1583.13,5,Yes
CUST-1110,18,One year,DSL,46.25,754.39,2,No
CUST-1111,16,Month-to-month,DSL,68.83,1070.83,1,No
CUST-1112,17,One year,No,23.97,498.63,2,No
CUST-1113,24,Month-to-month,Fiber optic,79.17,1896.61,4,Yes
CUST-1114,68,Two year,DSL,46.83,3172.27,4,No
CUST-1115,2,Month-to-month,Fiber optic,82.24,164.89,0,Yes
CUST-1116,10,One year,Fiber optic,105.82,1068.46,0,Yes
CUST-1117,53,Two year,DSL,57.25,3014.71,2,No
CUST-1118,51,Month-to-month,No,25.74,1379.77,2,No
CUST-1119,69,Two year,Fiber optic,94.92,6525.93,2,No
CUST-1120,14,Month-to-month,No,21.84,355.45,0,No
CUST-1121,66,Month-to-month,Fiber optic,110.98,7415.8,2,No
CUST-1122,53,Month-to-month,Fiber optic,102.19,5434.96,2,No
CUST-1123,64,Two year,Fiber optic,91.78,5821.54,2,No
CUST-1124,49,Two year,DSL,42.39,2086.52,1,No
CUST-1125,62,Month-to-month,DSL,60.32,3711.65,1,No
CUST-1126,37,Month-to-month,Fiber optic,86.12,3231.34,3,Yes
CUST-1127,49,Two year,DSL,43.62,2147.74,1,No
CUST-1128,68,Month-to-month,DSL,46.43,3151.29,3,Yes
CUST-1129,33,One year,DSL,52.1,1668.88,2,No
CUST-1130,22,One year,Fiber optic,96.1,2021.15,3,Yes
CUST-1131,70,Two year,No,21.5,1464.42,1,No
CUST-1132,33,One year,DSL,43.84,1479.27,1,No
CUST-1133,28,Month-to-month,Fiber optic,72.25,2082.14,2,Yes
CUST-1134,4,Two year,Fiber optic,82.99,316.45,1,No
CUST-1135,66,Month-to-month,DSL,43.16,2801.33,1,Yes
CUST-1136,49,Month-to-month,Fiber optic,94.04,4617.45,2,Yes
CUST-1137,11,Month-to-month,DSL,49.2,575.63,1,Yes
CUST-1138,35,Two year,Fiber optic,114.2,4035.86,1,No
CUST-1139,39,One year,DSL,51.05,2000.68,2,No
CUST-1140,10,Month-to-month,Fiber optic,94.22,1045.71,1,No
CUST-1141,69,One year,No,19.32,1396.52,4,No
CUST-1142,23,Month-to-month,No,23.33,475.45,2,Yes
CUST-1143,34,Two year,No,24.8,769.83,1,Yes
CUST-1144,32,Month-to-month,Fiber optic,109.54,3448.76,7,No
CUST-1145,16,One year,No,18.7,357.62,0,No
CUST-1146,68,One year,DSL,60.0,3994.54,2,No
CUST-1147,54,Month-to-month,DSL,69.64,3783.44,3,No
CUST-1148,28,Two year,Fiber optic,109.76,3064.78,1,No
CUST-1149,60,Month-to-month,DSL,62.19,3669.16,2,Yes
CUST-1150,60,One year,No,21.2,1284.44,1,No
CUST-1151,44,One year,Fiber optic,105.64,4639.34,3,No
CUST-1152,2,One year,Fiber optic,84.22,208.79,2,No
CUST-1153,23,Month-to-month,Fiber optic,81.38,1790.39,0,No
CUST-1154,46,Two year,Fiber optic,93.18,4241.6,1,No
CUST-1155,54,Month-to-month,DSL,57.01,3034.86,2,No
CUST-1156,71,One year,No,26.66,1925.94,1,No
CUST-1157,9,One year,Fiber optic,102.84,913.68,3,Yes
CUST-1158,70,Two year,DSL,48.37,3444.94,1,No
CUST-1159,44,One year,DSL,45.34,1975.02,3,No
CUST-1160,12,Month-to-month,Fiber optic,108.52,1313.27,2,No
CUST-1161,32,Two year,DSL,72.96,2408.93,1,No
CUST-1162,34,Month-to-month,Fiber optic,106.6,3535.75,2,Yes
CUST-1163,33,Month-to-month,DSL,44.03,1454.44,1,Yes
CUST-1164,64,Two year,Fiber optic,103.93,6649.94,2,No
CUST-1165,48,One year,DSL,43.83,2064.45,0,No
CUST-1166,16,Month-to-month,Fiber optic,87.61,1393.57,4,Yes
CUST-1167,50,One year,No,22.39,1135.11,0,No
CUST-1168,23,Month-to-month,No,18.8,395.09,0,No
CUST-1169,26,Month-to-month,Fiber optic,111.17,2893.19,5,No
CUST-1170,54,Month-to-month,Fiber optic,100.94,5399.77,1,No
CUST-1171,44,One year,Fiber optic,103.17,4529.26,1,No
CUST-1172,37,One year,DSL,74.32,2796.28,1,No
CUST-1173,9,One year,Fiber optic,101.56,962.81,5,Yes
CUST-1174,13,Month-to-month,DSL,44.21,633.37,0,No
CUST-1175,60,One year,Fiber optic,78.03,4676.72,1,No
CUST-1176,2,Month-to-month,Fiber optic,113.59,210.84,1,Yes
CUST-1177,60,Month-to-month,Fiber optic,85.93,5192.7,2,No
CUST-1178,57,Two year,Fiber optic,84.82,4893.08,2,No
CUST-1179,43,Month-to-month,DSL,46.08,1985.61,4,Yes
CUST-1180,19,One year,Fiber optic,74.13,1484.08,0,No
CUST-1181,11,Two year,No,25.62,317.35,0,No
CUST-1182,47,Month-to-month,DSL,60.72,2825.29,3,Yes
CUST-1183,63,One year,Fiber optic,106.15,6664.95,2,Yes
CUST-1184,7,One year,DSL,56.3,392.08,2,No
CUST-1185,31,Month-to-month,DSL,65.38,1948.26,2,No
CUST-1186,55,One year,DSL,70.03,3823.98,1,No
CUST-1187,25,One year,Fiber optic,104.28,2664.04,3,No
CUST-1188,30,Month-to-month,Fiber optic,80.4,2479.26,1,No
CUST-1189,36,Month-to-month,Fiber optic,113.48,4099.58,1,Yes
CUST-1190,50,Two year,DSL,72.02,3623.72,1,No
CUST-1191,14,One year,No,25.58,342.62,1,No
CUST-1192,29,Month-to-month,No,22.01,606.28,4,Yes
CUST-1193,27,Month-to-month,Fiber optic,89.66,2449.34,1,No
CUST-1194,50,One year,DSL,48.91,2423.51,3,No
CUST-1195,36,Month-to-month,No,25.13,989.2,3,Yes
CUST-1196,34,Month-to-month,Fiber optic,84.91,2907.37,1,No
CUST-1197,21,One year,DSL,49.83,1068.69,3,No
CUST-1198,38,One year,DSL,61.52,2284.78,1,No
CUST-1199,50,Month-to-month,DSL,42.91,2029.57,3,No
CUST-1200,37,Month-to-month,DSL,44.04,1651.74,1,No
CUST-1201,19,Month-to-month,No,23.38,419.37,0,Yes
CUST-1202,1,Month-to-month,Fiber optic,75.16,124.36,1,Yes
CUST-1203,40,Month-to-month,DSL,49.5,1934.36,1,No
CUST-1204,55,Month-to-month,Fiber optic,103.47,5664.29,1,No
CUST-1205,26,Month-to-month,Fiber optic,107.48,2850.45,3,Yes
CUST-1206,43,Month-to-month,No,27.28,1194.88,3,No
CUST-1207,59,Two year,DSL,59.44,3456.89,1,No
CUST-1208,51,Month-to-month,Fiber optic,89.09,4545.29,2,Yes
CUST-1209,15,Month-to-month,DSL,54.65,914.94,3,Yes
CUST-1210,8,Month-to-month,Fiber optic,92.56,747.66,0,Yes
CUST-1211,14,Month-to-month,Fiber optic,82.14,1142.56,2,Yes
CUST-1212,7,Two year,DSL,51.08,402.32,1,No
CUST-1213,18,Month-to-month,DSL,64.82,1184.37,5,Yes
CUST-1214,12,Two year,DSL,48.7,656.58,2,No
CUST-1215,2,Month-to-month,DSL,68.81,175.37,2,Yes
CUST-1216,50,Two year,Fiber optic,87.53,4421.83,0,No
CUST-1217,21,Month-to-month,Fiber optic,99.09,2155.51,1,No
CUST-1218,7,Month-to-month,Fiber optic,82.75,564.3,1,Yes
CUST-1219,12,Month-to-month,No,27.5,300.06,1,Yes
CUST-1220,57,Month-to-month,No,21.83,1177.02,2,No
CUST-1221,23,Month-to-month,Fiber optic,104.14,2384.68,3,Yes
CUST-1222,30,Month-to-month,Fiber optic,72.73,2116.47,3,Yes
CUST-1223,58,One year,DSL,69.76,4064.35,0,No
CUST-1224,52,Month-to-month,DSL,50.81,2611.45,1,Yes
CUST-1225,56,Month-to-month,Fiber optic,77.13,4367.4,0,No
CUST-1226,10,Month-to-month,DSL,46.89,507.83,0,No
CUST-1227,19,One year,No,23.98,436.14,1,No
CUST-1228,19,Month-to-month,DSL,48.57,971.64,0,No
CUST-1229,59,Month-to-month,Fiber optic,110.89,6549.97,1,Yes
