Latitude,Longitude,Median_Income_kUSD,House_Age_Years,Avg_Rooms,Avg_Bedrooms,Block_Population,Distance_City_Km,Ocean_Proximity,Median_House_Value_USD
34.187,-118.6453,5.51,16,6.8,2.7,3137,12.6,NEAR OCEAN,250293.0
33.3569,-121.0713,5.87,2,7.5,2.8,2725,24.3,<1H OCEAN,225409.0
37.0621,-121.9691,9.59,47,9.8,3.5,4563,14.9,<1H OCEAN,465507.0
35.6958,-120.6321,5.71,13,6.6,2.6,2906,23.3,INLAND,217157.0
37.2344,-120.3642,5.17,45,5.0,2.0,3111,17.9,<1H OCEAN,241236.0
37.4829,-122.4124,10.39,16,11.5,4.3,4671,3.2,<1H OCEAN,498161.0
32.9735,-118.1816,2.14,8,3.5,1.5,1768,0.8,INLAND,120751.0
35.2549,-120.5963,4.109999999999999,43,4.5,1.8,2544,35.1,<1H OCEAN,144647.0
34.6123,-119.4238,4.8100000000000005,8,8.0,3.2,2358,43.7,NEAR OCEAN,147852.0
35.8919,-122.108,10.73,54,11.9,4.3,5718,19.5,INLAND,484280.0
36.7473,-121.5725,7.36,10,7.5,2.8,3797,19.3,NEAR BAY,333227.0
34.131,-117.7846,3.98,33,3.7,1.7,2276,4.7,NEAR BAY,209698.0
35.5397,-119.274,3.86,31,4.5,1.8,2567,11.7,NEAR BAY,182327.0
36.3145,-117.4635,10.88,12,12.0,4.4,4840,72.9,<1H OCEAN,390514.0
33.3856,-117.2066,3.86,9,5.2,2.0,2287,29.1,INLAND,134567.0
36.8517,-120.5291,5.08,37,5.0,2.0,3257,5.4,NEAR BAY,268456.0
35.7912,-120.9163,5.63,9,7.1,2.7,2600,5.4,<1H OCEAN,274888.0
37.5426,-117.9507,8.66,48,8.8,3.2,4336,9.9,NEAR OCEAN,412513.0
34.4316,-117.2074,5.41,18,5.8,2.3,2740,7.8,<1H OCEAN,255976.0
33.2515,-119.1629,3.6,30,4.4,1.7,2293,7.0,<1H OCEAN,179273.0
35.2832,-118.2858,9.01,32,10.3,3.7,4518,14.8,NEAR OCEAN,429749.0
33.1376,-118.3567,8.92,40,9.6,3.6,4450,0.2,<1H OCEAN,444281.0
37.6446,-120.6167,13.7,23,11.8,4.5,5873,21.6,INLAND,500000.0
32.8973,-119.4564,7.68,11,8.4,3.2,3435,20.2,INLAND,320185.0
36.5429,-118.0848,3.79,20,5.1,2.1,2039,26.6,INLAND,161512.0
35.378,-118.853,13.38,19,12.0,4.3,6000,27.6,INLAND,500000.0
34.58,-122.3878,5.62,36,6.2,2.5,2828,12.5,<1H OCEAN,260515.0
33.0358,-120.7155,9.99,52,9.3,3.4,4833,22.7,INLAND,448388.0
35.8731,-121.7343,13.16,26,12.0,4.3,5797,10.2,INLAND,500000.0
35.6846,-121.2652,7.1,10,7.9,2.9,3508,45.4,<1H OCEAN,245476.0
34.1325,-117.7009,6.71,24,7.1,2.7,3650,3.2,<1H OCEAN,329296.0
37.3421,-122.3045,7.69,13,8.6,3.3,3736,37.1,INLAND,281088.0
34.251,-121.3351,8.370000000000001,52,8.1,3.1,4766,4.5,<1H OCEAN,395358.0
34.9936,-120.8593,10.78,46,11.2,4.1,5302,1.6,INLAND,500000.0
35.4732,-119.2305,6.27,53,8.1,2.9,3519,8.7,<1H OCEAN,303566.0
33.2112,-119.6693,6.94,34,7.5,2.9,3459,14.3,<1H OCEAN,330331.0
37.454,-121.3432,5.33,29,6.7,2.6,2962,3.9,NEAR BAY,271575.0
34.6101,-121.6295,5.3100000000000005,36,6.7,2.6,2818,12.2,<1H OCEAN,275639.0
33.112,-121.245,4.52,7,5.2,1.9,2182,24.7,<1H OCEAN,183833.0
34.6752,-119.8366,5.49,51,6.8,2.7,3004,4.5,<1H OCEAN,287542.0
35.761,-121.0628,4.279999999999999,30,3.6,1.6,2467,13.0,<1H OCEAN,186754.0
35.3196,-117.4777,10.19,17,8.0,3.2,4645,6.2,INLAND,458475.0
36.2422,-120.0415,9.16,48,9.1,3.3,5174,11.3,<1H OCEAN,436826.0
32.983,-122.1884,6.5,13,7.7,2.9,3271,16.5,INLAND,290526.0
34.1512,-118.6349,7.6,24,8.0,2.9,3818,6.5,<1H OCEAN,366644.0
36.8781,-120.7571,4.52,54,6.2,2.3,2737,78.0,<1H OCEAN,129045.0
33.1075,-119.0365,6.69,31,6.4,2.6,4099,12.4,NEAR BAY,297478.0
37.063,-121.0181,11.48,27,11.9,4.4,5177,26.1,<1H OCEAN,500000.0
33.1687,-119.4751,11.29,50,12.0,4.5,5421,19.4,<1H OCEAN,495780.0
36.9557,-118.4076,13.84,21,12.0,4.3,6000,28.7,<1H OCEAN,500000.0
34.54,-117.5816,10.17,44,10.8,4.0,5048,2.9,<1H OCEAN,475735.0
35.8223,-121.116,7.91,1,8.3,3.2,3419,3.8,NEAR BAY,380472.0
33.4797,-120.7253,9.92,15,10.3,3.7,4623,10.0,<1H OCEAN,433642.0
33.0375,-120.0394,3.92,3,6.4,2.6,2233,28.7,ISLAND,105253.0
33.8013,-117.586,9.56,6,9.9,3.6,4486,3.3,<1H OCEAN,449448.0
33.3521,-117.7226,10.34,14,10.9,4.1,4908,53.1,INLAND,394845.0
34.2933,-122.0236,6.64,38,6.3,2.3,3973,2.0,<1H OCEAN,350791.0
35.3234,-121.8008,6.99,33,8.2,3.0,3680,2.9,<1H OCEAN,346998.0
35.7027,-119.8738,6.01,52,8.1,3.1,3583,2.7,NEAR BAY,300417.0
36.7283,-121.9349,6.55,38,6.5,2.5,3015,13.2,NEAR BAY,301893.0
36.0468,-120.6684,7.39,8,7.7,2.9,3909,37.4,INLAND,337470.0
35.8047,-121.7136,7.75,26,8.7,3.2,3872,4.4,<1H OCEAN,360711.0
34.8001,-119.129,4.55,15,6.0,2.3,2296,12.1,NEAR BAY,218338.0
35.1164,-117.4677,4.92,14,4.8,2.0,2568,2.9,<1H OCEAN,249213.0
34.8141,-117.2173,9.16,48,9.5,3.5,4776,15.0,<1H OCEAN,437418.0
36.995,-120.5112,8.09,20,8.2,3.1,4142,2.0,INLAND,397443.0
33.873,-119.3252,4.720000000000001,48,5.0,2.0,2848,10.1,<1H OCEAN,234206.0
32.7292,-117.9618,6.41,19,8.2,3.1,3374,16.0,<1H OCEAN,262719.0
36.0217,-121.8775,14.81,33,12.0,4.2,6000,13.0,<1H OCEAN,500000.0
33.7326,-118.8453,2.54,36,4.8,1.9,1974,2.3,NEAR BAY,147968.0
37.2396,-120.3331,2.14,24,2.8,1.2,1637,2.6,<1H OCEAN,125479.0
37.0811,-121.4074,2.56,10,4.5,1.8,1684,16.7,<1H OCEAN,118618.0
33.0913,-120.3654,17.7,52,12.0,4.3,6000,24.8,<1H OCEAN,500000.0
33.2426,-122.0974,4.12,50,5.1,2.1,2728,35.8,INLAND,156656.0
35.2254,-118.8143,5.86,34,6.3,2.6,3018,25.2,INLAND,268853.0
35.807,-121.1605,8.8,36,8.0,3.0,4418,54.7,<1H OCEAN,330607.0
34.102,-120.8496,8.530000000000001,47,8.1,3.3,4255,7.9,<1H OCEAN,405724.0
36.3557,-121.8583,6.04,36,6.5,2.4,3077,6.0,<1H OCEAN,290296.0
35.7341,-117.9173,12.71,16,11.4,4.1,5602,0.4,INLAND,500000.0
34.3566,-119.8847,9.73,15,9.2,3.3,4500,9.0,NEAR BAY,446004.0
32.8294,-119.4676,5.02,18,6.1,2.4,2582,15.8,NEAR OCEAN,259652.0
36.5258,-119.482,4.21,7,5.6,2.0,2333,25.3,<1H OCEAN,168272.0
33.7952,-120.3244,7.33,47,8.7,3.2,3917,4.7,<1H OCEAN,346791.0
36.9558,-121.4796,9.96,22,9.4,3.8,4906,10.8,INLAND,453207.0
34.8435,-118.5508,14.99,32,12.0,4.2,6000,16.3,NEAR BAY,500000.0
35.6431,-121.8266,7.9,43,8.0,2.9,4126,12.0,<1H OCEAN,366397.0
37.152,-121.9495,5.74,19,6.2,2.3,3359,4.8,<1H OCEAN,278902.0
37.1045,-118.7362,12.16,40,11.5,4.2,5676,23.9,NEAR BAY,500000.0
34.5947,-121.3932,11.35,1,10.9,4.0,4992,2.9,INLAND,500000.0
33.7653,-120.8741,9.68,35,9.9,3.6,4962,35.3,INLAND,401694.0
