Date,Region,Product,Category,Units_Sold,Unit_Price_USD,Revenue_USD,Discount_Pct,Profit_USD,Customer_Rating
2024-01-01,North America,Data Connector,Subscription,39,851.51,33208.89,0.0,6398.38,3.0
2024-01-01,North America,AI CoPilot,Services,29,1196.84,34708.36,15.0,5059.71,5.0
2024-01-02,North America,Data Connector,Subscription,15,1081.1,16216.5,5.0,7447.62,4.0
2024-01-02,North America,Cloud Analytics,Services,43,712.4,30633.2,0.0,17205.28,4.0
2024-01-03,Latin America,Security Suite,Subscription,8,1105.0,8840.0,0.0,4782.51,3.0
2024-01-03,North America,Security Suite,Software,21,56.1,1178.1,0.0,497.04,2.0
2024-01-04,Asia Pacific,AI CoPilot,Subscription,39,1171.33,45681.87,25.0,6850.0,4.0
2024-01-04,Asia Pacific,Data Connector,Software,19,614.36,11672.84,10.0,5189.98,4.0
2024-01-05,Latin America,Enterprise ERP,Subscription,23,881.33,20270.59,20.0,4393.76,3.0
2024-01-05,North America,Data Connector,Software,11,993.99,10933.89,10.0,5958.76,4.0
2024-01-06,Middle East,Cloud Analytics,Subscription,11,876.23,9638.53,5.0,5211.32,5.0
2024-01-06,Europe,Enterprise ERP,Software,24,665.29,15966.96,5.0,7655.47,5.0
2024-01-07,Middle East,Security Suite,Software,36,598.11,21531.96,10.0,12100.55,5.0
2024-01-07,Latin America,AI CoPilot,Software,40,1014.37,40574.8,0.0,6723.69,4.0
2024-01-08,North America,AI CoPilot,Services,24,285.84,6860.16,20.0,2843.4,4.0
2024-01-08,North America,Security Suite,Software,3,1163.19,3489.57,15.0,934.69,5.0
2024-01-09,North America,Cloud Analytics,Software,22,867.6,19087.2,5.0,10934.7,4.0
2024-01-09,Europe,Security Suite,Subscription,2,279.43,558.86,25.0,118.76,2.0
2024-01-10,North America,Cloud Analytics,Subscription,24,896.68,21520.32,15.0,9373.48,3.0
2024-01-10,North America,Enterprise ERP,Software,44,659.32,29010.08,10.0,15373.64,4.0
2024-01-11,Europe,Security Suite,Software,30,863.31,25899.3,0.0,4424.34,3.0
2024-01-11,North America,Cloud Analytics,Software,38,932.95,35452.1,5.0,11748.21,4.0
2024-01-12,North America,Enterprise ERP,Services,2,150.38,300.76,10.0,143.78,3.0
2024-01-12,Europe,Security Suite,Software,21,632.02,13272.42,0.0,5009.8,1.0
2024-01-13,North America,AI CoPilot,Software,33,1121.82,37020.06,0.0,10499.86,4.0
2024-01-13,Europe,Security Suite,Software,12,418.74,5024.88,15.0,1110.08,4.0
2024-01-14,Europe,Data Connector,Software,22,732.97,16125.34,0.0,3479.19,4.0
2024-01-14,Europe,Security Suite,Subscription,44,474.62,20883.28,10.0,10874.1,3.0
2024-01-15,Latin America,Data Connector,Software,25,572.41,14310.25,20.0,5010.62,3.0
2024-01-15,Europe,Enterprise ERP,Software,49,680.89,33363.61,20.0,5023.02,4.0
